case,no_descriptors_ms,adaptive_204_ms,plus_strip24_ms,plus_tight_bound_ms,204_incremental_speedup,strip24_incremental_speedup,tight_bound_incremental_speedup,total_speedup,strip24_cumulative_over_adaptive_speedup,tight_bound_cumulative_over_adaptive_speedup
leon3mp_d10,72.09321800000001,72.10710200000001,35.207913,23.747689,0.9998074530855504,2.048036814905786,1.4825827052055465,3.0357993150407183,2.048036814905786,3.036383961403571
leon3mp_d20,88.335364,88.137883,32.989764,27.468917,1.0022405915966917,2.6716736439824182,1.2009852445220173,3.215829877821539,2.6716736439824182,3.2086406246012538
leon3mp_d30,59.404878000000004,59.508741,32.071117,28.947991000000002,0.9982546597650251,1.8555244271660385,1.1078874869071225,2.0521243771286235,1.8555244271660385,2.05571229450776
leon3mp_d40,86.315429,72.870881,58.579874000000004,57.89371,1.1844982222734484,1.2439576261294107,1.0118521338501196,1.490929308209821,1.2439576261294107,1.2587011784181736
leon3mp_d50,96.094493,85.098863,84.253485,86.149224,1.1292100694694358,1.0100337451916677,0.9779947060231209,1.115442351517873,1.0100337451916677,0.9878076557021569
leon3mp_base_x8,11.024505000000001,11.15923,11.430938,11.887318,0.9879270343921579,0.9762304720749952,0.9616078244058078,0.9274173535191034,0.9762304720749952,0.9387508603706909
leon3mp_base_x16,26.857784,27.278138,27.326207999999998,17.338337,0.9845900772259456,0.9982408828916182,1.5760570347663676,1.5490403722110142,0.9982408828916182,1.5732845658727246
des_perf_base,26.865622,26.745388000000002,27.503219,29.022185,1.0044955040472772,0.9724457344429392,0.9476619007149186,0.9256926037787988,0.9724457344429392,0.9215497730443108
des_perf_d10,40.549203000000006,40.230162,27.669572000000002,14.992360000000001,1.0079303931214596,1.4539495587427227,1.845578147803281,2.7046577723587215,1.4539495587427227,2.683377533623792
des_perf_d20,20.363407000000002,20.255118,11.940669,13.271364,1.0053462537221458,1.6963134980125485,0.8997318587599586,1.5343868949717605,1.6963134980125485,1.5262272966064376
des_perf_d30,48.564176,48.524907000000006,14.262484,15.127844,1.0008092545133573,3.4022759990475717,0.942796871781597,3.210250978262336,3.4022759990475717,3.207655168839658
des_perf_d40,96.09807500000001,71.838888,71.802359,71.899451,1.33768878772177,1.0005087437308293,0.9986496141674294,1.336562013526362,1.0005087437308293,0.9991576708979322
des_perf_d50,74.362812,69.292784,69.082383,64.524707,1.0731681959841592,1.0030456534772405,1.0706345865313265,1.1524703552702689,1.0030456534772405,1.0738953684826495
des_perf_base_x8,7.65322,7.5756190000000005,7.539839,8.063728,1.0102435193744563,1.004745459418961,0.9350314147501008,0.949092032866188,1.004745459418961,0.9394685683842512
des_perf_base_x16,51.591602,51.700942,51.451873,9.624682,0.997885144916702,1.004840815027278,5.3458257633862605,5.360343541739873,1.004840815027278,5.37170391707487
vga_lcd_base,7.946478,7.993619,8.394979000000001,9.359977,0.9941026711430705,0.952190470041676,0.896901669737009,0.8489847784882377,0.952190470041676,0.8540212224880467
vga_lcd_d10,30.915896,30.994774,16.684317,15.475874,0.9974551193694783,1.8577190783416546,1.0780856060213466,1.9976833618573013,1.8577190783416546,2.00278019839138
vga_lcd_d20,63.37394,63.094345,35.143789000000005,23.44012,1.0044313797060576,1.7953199354799219,1.4993007288358593,2.703652541027947,1.7953199354799219,2.691724487758595
vga_lcd_d30,38.335077999999996,38.355724,20.930713,20.560223999999998,0.9994617231055264,1.8325091935473006,1.0180196966725656,1.8645262814257277,1.8325091935473006,1.8655304533647108
