case,bound,m0_setup_ms,m0_pfxt_ms,m0_cold_ms,m0_generated_paths,m0_strips,m0_strip_paths,m0_tiles,m0_tile_paths,m0_individual,m0_total,m0_cold_min_ms,m0_cold_max_ms,m1_setup_ms,m1_pfxt_ms,m1_cold_ms,m1_generated_paths,m1_strips,m1_strip_paths,m1_tiles,m1_tile_paths,m1_individual,m1_total,m1_cold_min_ms,m1_cold_max_ms,m2_setup_ms,m2_pfxt_ms,m2_cold_ms,m2_generated_paths,m2_strips,m2_strip_paths,m2_tiles,m2_tile_paths,m2_individual,m2_total,m2_cold_min_ms,m2_cold_max_ms,m3_setup_ms,m3_pfxt_ms,m3_cold_ms,m3_generated_paths,m3_strips,m3_strip_paths,m3_tiles,m3_tile_paths,m3_individual,m3_total,m3_cold_min_ms,m3_cold_max_ms,204_alone_speedup,24_alone_speedup,24_added_speedup,204_added_speedup,both_speedup,m0_bound_speedup,m1_bound_speedup,m2_bound_speedup,m3_bound_speedup
leon2_d20,1,6.655695,80.243323,86.91421700000001,1460343.0,0.0,0.0,0.0,0.0,216221818.0,216221818.0,86.669906,86.939713,6.658905,54.599733,61.258638,1460343.0,0.0,0.0,831321.0,177555589.0,38666229.0,216221818.0,61.037811,61.785472,6.687962,63.590085,70.290473,1460343.0,791403.0,20397316.0,0.0,0.0,195824502.0,216221818.0,70.096042,70.41536,6.706011,46.630149,53.358223,1460343.0,791403.0,20397316.0,831337.0,177586719.0,18237783.0,216221818.0,52.975080000000005,54.549363,1.4188075320904132,1.2365006705816306,1.1480636827054753,1.3173315947946769,1.6288814003419867,0.9987052290881248,0.9862207351067779,0.9948058679303523,0.9809428998413233
leon2_d30,0,9.533567,865.142877,874.790527,81543398.0,0.0,0.0,0.0,0.0,85917309.0,85917309.0,874.676444,875.1398350000001,9.552114,861.856155,871.371909,81543398.0,0.0,0.0,524483.0,47099678.0,38817631.0,85917309.0,869.144433,871.8922319999999,9.57206,848.394084,857.966144,81543398.0,720304.0,18221529.0,0.0,0.0,67695780.0,85917309.0,857.477841,858.189394,9.595483,846.972566,856.568049,81543398.0,720304.0,18221529.0,524527.0,47094774.0,20601006.0,85917309.0,854.451682,856.609889,1.0039232593622662,1.0196096117750773,1.0172827599830307,1.0016322054057845,1.0212738240952062,7.1186803135557115,7.343179789690753,8.144403272239007,8.305777914762396
leon2_d30,1,9.603966,113.306222,122.886615,5765395.0,0.0,0.0,0.0,0.0,85917309.0,85917309.0,122.82538,122.971802,9.566101,109.098011,118.664112,5765395.0,0.0,0.0,524494.0,47103202.0,38814107.0,85917309.0,118.57855599999999,119.250346,9.605194,95.731608,105.34426099999999,5765395.0,720304.0,18221529.0,0.0,0.0,67695780.0,85917309.0,105.12098700000001,105.38745,9.528018,93.617136,103.129178,5765395.0,720304.0,18221529.0,524493.0,47091951.0,20603829.0,85917309.0,103.04009,103.379188,1.0355836564975938,1.1665240596258017,1.1506356813975576,1.0214787225396094,1.191579506238283,7.1186803135557115,7.343179789690753,8.144403272239007,8.305777914762396
leon2_d40,0,12.462848,64.86305,77.325898,2029631.0,0.0,0.0,0.0,0.0,101030374.0,101030374.0,77.03515800000001,77.45745000000001,12.445194,64.016811,76.463378,2029631.0,0.0,0.0,342894.0,30242394.0,70787980.0,101030374.0,76.223715,76.506538,12.432339,39.731612,52.184475,2029631.0,2504685.0,64181509.0,0.0,0.0,36848865.0,101030374.0,52.087294,52.381451999999996,12.437378,39.11894,51.616988000000006,2029631.0,2504685.0,64181509.0,342928.0,30249271.0,6599594.0,101030374.0,51.499354000000004,51.808467,1.0112801712736257,1.4817797438797649,1.4813607101599962,1.0109941905172768,1.4980707126886208,1.050996060859502,1.0481590966676924,1.0600829621532863,1.0704757142337489
leon2_d40,1,12.459141,61.114777,73.57391799999999,1583854.0,0.0,0.0,0.0,0.0,101030374.0,101030374.0,73.265144,73.687554,12.43607,60.506752,72.950164,1583854.0,0.0,0.0,342902.0,30243949.0,70786425.0,101030374.0,72.873971,73.052426,12.408039,36.829786,49.226783999999995,1583854.0,2504685.0,64181509.0,0.0,0.0,36848865.0,101030374.0,48.680641,49.494561000000004,12.46476,35.753978,48.218737999999995,1583854.0,2504685.0,64181509.0,342917.0,30245866.0,6602999.0,101030374.0,48.157018,48.335148000000004,1.0085504125802924,1.4945911965323593,1.512900731661621,1.0209056902318763,1.525836657110354,1.050996060859502,1.0481590966676924,1.0600829621532863,1.0704757142337489
leon2_d50,0,15.553888,110.984031,126.537919,2787358.0,0.0,0.0,0.0,0.0,167635116.0,167635116.0,125.976961,127.78787799999999,15.56432,105.801649,121.35828,2787358.0,0.0,0.0,1522572.0,149321501.0,18313615.0,167635116.0,120.93099099999999,122.70964,15.599575,114.368753,129.867452,2787358.0,490.0,13803.0,0.0,0.0,167621313.0,167635116.0,129.473613,130.099454,15.615303,103.59188,119.17797,2787358.0,490.0,13803.0,1522628.0,149341775.0,18279538.0,167635116.0,118.941726,119.28834,1.0426805571074345,0.9743620672560821,1.0182945723945456,1.0896934391481914,1.0617559520438216,1.066501661014736,1.0565601023582352,1.0579866684872834,1.063995861219508
leon2_d50,1,15.600481,103.051813,118.64765299999999,2045352.0,0.0,0.0,0.0,0.0,167635116.0,167635116.0,118.588143,118.955276,15.601028,99.319185,114.86169100000001,2045352.0,0.0,0.0,1522613.0,149351212.0,18283904.0,167635116.0,114.799321,115.53900300000001,15.618282,107.196769,122.749611,2045352.0,490.0,13803.0,0.0,0.0,167621313.0,167635116.0,122.206378,123.514028,15.587054,96.422752,112.009806,2045352.0,490.0,13803.0,1522568.0,149307581.0,18313732.0,167635116.0,111.918414,112.66529,1.032961050521187,0.9665827209831238,1.0254610297244868,1.0958827211967495,1.0592613025327442,1.066501661014736,1.0565601023582352,1.0579866684872834,1.063995861219508
leon2_base_x8,0,3.099505,13.190102,16.280849,10808122.0,0.0,0.0,0.0,0.0,1057726.0,1057726.0,16.280343,16.340321,3.136027,13.512892,16.609809000000002,10808122.0,0.0,0.0,39.0,614.0,1057112.0,1057726.0,16.532055,16.987220999999998,3.100109,13.345947,16.449373,10808122.0,42192.0,268366.0,0.0,0.0,789360.0,1057726.0,16.414527,16.485028,3.108159,13.496553,16.623721,10808122.0,42192.0,268366.0,39.0,614.0,788746.0,1057726.0,16.598986,16.649979000000002,0.980194835473424,0.9897549894454942,0.9991631235870719,0.9895120953966926,0.9793745335355424,1.2508275544477276,1.2679761349032197,1.2509416070900448,1.2397071962914354
leon2_base_x8,1,3.089293,9.936571,13.016062000000002,1771342.0,0.0,0.0,0.0,0.0,1057726.0,1057726.0,12.85376,13.057466,3.096694,9.994886,13.099464999999999,1771342.0,0.0,0.0,39.0,614.0,1057112.0,1057726.0,13.060220999999999,13.165631,3.105894,10.042436,13.149593,1771342.0,42192.0,268366.0,0.0,0.0,789360.0,1057726.0,13.067421,13.190868000000002,3.093761,10.310208,13.409393,1771342.0,42192.0,268366.0,39.0,614.0,788746.0,1057726.0,13.264172,13.40946,0.9936330987563234,0.9898452370350932,0.9768872461266516,0.9806255212297827,0.9706675015043561,1.2508275544477276,1.2679761349032197,1.2509416070900448,1.2397071962914354
leon2_base_x16,0,6.513177,9.443238,15.956415,1182354.0,0.0,0.0,0.0,0.0,1435809.0,1435809.0,15.943714,16.171733,6.531148,9.698891,16.218601,1182354.0,0.0,0.0,39.0,614.0,1435195.0,1435809.0,16.03389,16.269042,6.524365,9.714162,16.240645,1182354.0,52560.0,376077.0,0.0,0.0,1059732.0,1435809.0,16.235456,16.356051,6.510334,9.843723,16.384938000000002,1182354.0,52560.0,376077.0,39.0,614.0,1059118.0,1435809.0,16.279763000000003,16.50009,0.9838342406968394,0.9824988477982247,0.9898481764166577,0.9911935583766016,0.9738465290500335,0.9096662120354215,0.9203094231414911,0.9109448254106718,0.91882677293582
