case,gpg_setup_ms,gpg_pfxt_ms,gpg_cold_ms,gpg_query_ms,gpg_candidates,gpg_strips,gpg_represented,gpg_promoted,gpg_cold_min_ms,gpg_cold_max_ms,gpg_candidates_min,gpg_candidates_max,adaptive_setup_ms,adaptive_pfxt_ms,adaptive_cold_ms,adaptive_query_ms,adaptive_candidates,adaptive_strips,adaptive_represented,adaptive_promoted,adaptive_cold_min_ms,adaptive_cold_max_ms,adaptive_candidates_min,adaptive_candidates_max,strip24_setup_ms,strip24_pfxt_ms,strip24_cold_ms,strip24_query_ms,strip24_candidates,strip24_strips,strip24_represented,strip24_promoted,strip24_cold_min_ms,strip24_cold_max_ms,strip24_candidates_min,strip24_candidates_max,bound_setup_ms,bound_pfxt_ms,bound_cold_ms,bound_query_ms,bound_candidates,bound_strips,bound_represented,bound_promoted,bound_cold_min_ms,bound_cold_max_ms,bound_candidates_min,bound_candidates_max,adaptive_speedup_vs_gpg,strip24_speedup_vs_gpg,bound_speedup_vs_gpg,excess_reduction_pct,bound_speedup_vs_strip24
des_perf_d20,0.0,31.481,31.481,231.642,1222410,0,0,0,31.1844,31.4907,1222410,1222410,0.81487,21.8456,22.66047,229.06,1222410,0,0,0,22.596379000000002,22.705051,1222410,1222410,0.807898,11.8838,12.688877000000002,224.746,1222410,1168599,26736993,590278,12.40012,12.713898,1222410,1222410,0.807938,12.878072,13.692041,225.149411,1193177,1168599,26736993,590278,13.573726,13.771639,1193177,1193177,1.389247442793552,2.4809918166911067,2.2992189404048675,13.143743536711483,0.9267337864384135
des_perf_d30,0.0,74.0172,74.0172,294.62,1668128,0,0,0,73.7753,74.1253,1668128,1668128,1.15052,51.9647,53.11522,294.116,1034196,0,0,0,52.893679999999996,53.4992,1034196,1034196,1.12282,13.6354,14.7667,230.437,1034196,9468632,242565066,593364,14.686209999999999,14.83542,1034196,1034196,1.11848,14.409357,15.549625,235.3367,1032704,9468632,242565066,593364,15.425524,15.629726999999999,1032704,1032704,1.3935214802838056,5.012440152505299,4.7600633455790735,4.363083401567436,0.9496499111714912
des_perf_d40,0.0,94.9099,94.9099,326.329,1447754,0,0,0,94.8367,95.3135,1447754,1447754,1.62938,70.4103,72.03968,319.223,1092966,0,0,0,71.86465,73.05471,1092966,1092966,1.63449,69.9331,71.51975999999999,320.016,1092966,120,3313,564,71.39769,72.8032,1092966,1092966,1.617673,70.632055,72.24972799999999,319.486124,1088998,120,3313,564,72.057375,72.606428,1088998,1088998,1.317466984861676,1.327044441983586,1.3136367793661452,4.268227093776222,0.9898965986418662
des_perf_d50,0.0,90.4854,90.4854,340.331,2995248,0,0,0,90.3665,91.4133,2995248,2995248,2.32461,67.3588,69.68908,326.729,2995248,0,0,0,69.55960999999999,70.08479,2995248,2995248,2.28555,66.2961,68.60186999999999,327.568,2995248,163,4672,699,68.54765,68.61125,2995248,2995248,2.293188,62.273886,64.58133699999999,315.612495,2107297,163,4672,699,64.48657299999999,64.606206,2107297,2107297,1.2984157632730982,1.3189931994565165,1.401107567655343,44.50328981660425,1.0622553385663105
des_perf_base_x8,0.0,12.0247,12.0247,338.049,7159534,0,0,0,12.016,12.2866,7159534,7159534,0.590335,7.77472,8.377114,342.851,7159537,0,0,0,8.365055,8.403609,7159537,7159537,0.584357,7.92627,8.496819,346.031,7159537,5349,21396,0,8.416847,8.556772,7159537,7159537,0.582248,8.154324,8.736572,310.294662,2893668,5349,21396,0,8.726177,8.766268,2893668,2893668,1.4354227482161517,1.4152002061006594,1.37636363553119,69.25632559719992,0.9725575431645272
des_perf_base_x16,0.0,245.742,245.742,2067.23,175650231,0,0,0,243.292,246.675,175650231,175650231,0.866401,49.8517,50.718101000000004,1867.59,175649447,0,0,0,50.250099,51.328755,175649447,175649447,0.871279,49.88,50.751279000000004,1866.57,175649447,3044,12176,0,50.739954,51.077486,175649447,175649447,0.865452,9.366308,10.230913,433.074672,5503945,3044,12176,0,10.126961999999999,10.240019,5503945,5503945,4.845252388294269,4.842084866472034,24.019557198854102,97.42115129628782,4.960581621601123
vga_lcd_base,0.0,7.77023,7.77023,1290.7,1058527,0,0,0,7.70801,7.80662,1058527,1058527,0.416708,8.00617,8.44197,1309.1,1058527,0,0,0,8.372388,8.553283,1058527,1058527,0.415108,8.08026,8.492178000000001,1293.6,1058527,1934,20851,17799,8.453515000000001,8.495368000000001,1058527,1058527,0.409166,9.068744,9.477451,1295.61386,1057393,1934,20851,17799,9.457211999999998,9.509644000000002,1057393,1057393,0.9204285255692688,0.9149867089455731,0.8198649615809145,1.9375672766415497,0.8960402960669489
vga_lcd_d10,0.0,48.9527,48.9527,264.508,3128208,0,0,0,48.5319,49.1659,3128208,3128208,0.620038,38.258,38.920425,260.265,3128204,0,0,0,38.616438,39.080493000000004,3128204,3128204,0.616057,16.8964,17.512457,238.407,3128204,3089411,52957717,1499694,17.394279,17.6247,3128204,3128204,0.619988,15.40468,16.026018,227.842943,1974273,3089411,52957717,1499694,15.979882,16.143103,1974273,1974273,1.257763757718473,2.795307363210085,3.0545766265830974,54.220882960468074,1.0927516117852858
vga_lcd_d20,0.0,110.221,110.221,323.028,1370398,0,0,0,109.895,110.297,1370398,1370398,0.960149,75.0257,75.962288,361.352,9462409,0,0,0,74.63924,76.088749,9462409,9462409,0.955428,35.4589,36.445987,320.533,9462409,5908819,132322277,3609825,35.999828,36.48275,9462409,9462409,0.950682,23.333241,24.283923,263.143121,3998621,5908819,132322277,3609825,24.062944,24.615471000000003,3998621,3998621,1.450996315434838,3.0242287031491286,4.538846544687199,64.56539739452442,1.5008278110583697
vga_lcd_d30,0.0,76.5361,76.5361,313.211,2313103,0,0,0,76.1306,76.5964,2313103,2313103,1.27065,46.3471,47.61775,290.129,2313101,0,0,0,47.36957,47.76602,2313101,2313101,1.26635,20.4074,21.68735,259.713,2313101,2089676,52603442,868452,21.59225,21.75897,2313101,2313101,1.262767,19.962771,21.225538,262.7994,1921794,2089676,52603442,868452,21.108045999999998,21.619115999999998,1921794,1921794,1.6073018989767471,3.5290664834569467,3.6058497080262466,29.800221003563323,1.021757375478539
vga_lcd_d40,0.0,99.5096,99.5096,349.975,2403539,0,0,0,99.4403,99.7142,2403539,2403539,1.72988,93.0945,94.82437999999999,394.382,6873063,0,0,0,94.63755,94.86547999999999,6873063,6873063,1.72777,35.6746,37.41982,329.757,6873063,7951347,206781706,3098210,37.18676,37.60347,6873063,6873063,1.716777,24.694645,26.411422,289.973653,3393669,7951347,206781706,3098210,26.353108,26.45357,3393669,3393669,1.049409445123712,2.659275218320131,3.767672940896556,59.24326028854109,1.4168044416540693
vga_lcd_d50,0.0,126.615,126.615,382.34,1636562,0,0,0,126.245,126.801,1636562,1636562,2.3431,58.6515,60.96648,333.368,2272742,0,0,0,60.76654,61.599,2272742,2272742,2.37113,23.1026,25.469569999999997,294.637,2272742,3985885,106059287,1290283,25.42405,25.67663,2272742,2272742,2.355661,22.368117,24.723778000000003,288.041052,1726141,3985885,106059287,1290283,24.573518,25.123029,1726141,1726141,2.0767969546544265,4.971226447874857,5.121183340183688,42.946724473616804,1.030164969124055
vga_lcd_base_x8,0.0,28.6122,28.6122,450.422,11329581,0,0,0,27.6071,29.2799,11329581,11329581,0.661238,17.6208,18.31263,447.052,11329564,0,0,0,18.221638000000002,18.883682,11329564,11329564,0.66604,13.7713,14.43734,442.247,11329564,49553,1324736,24,14.426763,14.468828,11329564,11329564,0.662211,10.326837,11.03399,374.348553,3195669,49553,1324736,24,10.968822,11.162243,3195669,3195669,1.5624298639791228,1.981819365617212,2.5930964229621383,78.74383662272677,1.3084423676294796
vga_lcd_base_x16,0.0,28.2951,28.2951,572.534,9226226,0,0,0,26.8775,28.463,9226226,9226226,1.03585,16.8819,17.91775,568.121,9226121,0,0,0,17.70214,18.06218,9226121,9226121,1.02794,12.4494,13.478760000000001,562.083,9226121,82801,2181833,72,13.431239999999999,13.610570000000001,9226121,9226121,1.066942,10.035533,11.078861,516.408253,2923658,82801,2181833,72,10.992885999999999,11.488387000000001,2923658,2923658,1.5791659108984106,2.0992361315135812,2.5539719290638274,76.61524794006799,1.2166196507023603
cage15,0.0,22.8137,22.8137,496.938,1546814,0,0,0,22.6787,22.9143,1546814,1546814,2.48027,19.1376,21.59651,500.95,1546814,0,0,0,21.57547,21.79047,1546814,1546814,2.47502,11.236,13.711020000000001,497.265,1546814,2126300,19744042,999169,13.63604,13.764140000000001,1546814,1546814,2.464995,12.071918,14.534941,492.314026,1377707,2126300,19744042,999169,14.534797000000001,14.757413999999999,1377707,1377707,1.0563604952837289,1.6638951733714924,1.569576374613423,30.92587241731192,0.9433144585863817
M6,0.0,68.023,68.023,13115.5,44347947,0,0,0,67.9376,69.0858,44347947,44347947,0.645816,18.4333,19.089364,13141.6,44347948,0,0,0,19.078916,19.178580999999998,44347948,44347948,0.635206,18.4685,19.108176,13260.9,44347948,1399,7559,7559,19.083457999999997,19.160206,44347948,44347948,0.638343,4.597607,5.238048,12770.0297,2438158,1399,7559,7559,5.158756,5.253384,2438158,2438158,3.563397921481302,3.559889756091842,12.986326203959948,96.68229278119462,3.647957407034071
nlpkkt120,0.0,6.06533,6.06533,45869.9,1039987,0,0,0,5.95535,6.13404,1039987,1039987,2.35878,5.80905,8.16783,45769.7,1039987,0,0,0,8.16091,8.20187,1039987,1039987,2.36253,3.32368,5.68873,46073.0,1039987,720812,18227437,213150,5.54879,5.71267,1039987,1039987,2.37045,3.907973,6.2486440000000005,45473.2077,1038691,720812,18227437,213150,6.2465980000000005,6.281081,1038691,1038691,0.7425876885292667,1.066201067725134,0.9706633951302074,3.241053342336264,0.910394319151483
