case,enabled,trial,setup_ms,pfxt_ms,cold_ms,strips,strip_paths,tiles,tile_paths,individual,total,strip_paths_pct,tile_paths_pct,individual_pct,paths_per_strip,paths_per_tile,record_bytes_per_path
leon2_d50,1,coverage,15.621298,97.277327,112.898625,490,13803,1522543,149305208,18316105,167635116,0.008233954990671526,89.06559172244079,10.926174322568547,28.16938775510204,98.06304846562625,4.475178410709604
leon2_base_x8,1,coverage,3.098884,10.561768,13.660652,42192,268366,39,614,788746,1057726,25.371977241743135,0.058049059964489856,74.56997369829237,6.360589685248389,15.743589743589743,18.861659824945214
leon2_base_x16,1,coverage,6.523391,12.590309,19.1137,52560,376077,39,614,1059118,1435809,26.19268997478077,0.04276334804977542,73.76454667716946,7.155194063926941,15.743589743589743,18.58758929634791
leon3mp_base,1,coverage,0.633928,10.837844,11.471772000000001,34544,671465,0,0,79927,751392,89.36280929261956,0.0,10.637190707380435,19.43796317739694,0,3.656285933307781
leon3mp_d10,1,coverage,3.229609,21.396489,24.626098,9391941,157973388,0,0,393704,158367092,99.75139784722447,0.0,0.24860215277552739,16.82010012626783,0,1.4829815780162208
leon3mp_d20,1,coverage,5.359827,22.668336,28.028163,10901033,268800102,0,0,1839642,270639744,99.32026169814881,0.0,0.6797383018511871,24.6582229408901,0,1.1298274062807272
leon3mp_d30,1,coverage,7.765713,21.488787,29.2545,3728942,100302593,0,0,761499,101064092,99.24651873387434,0.0,0.7534812661256581,26.89840523129617,0,1.066358801304028
leon3mp_d40,1,coverage,10.335037,50.852859,61.187896,477274,12569594,1319242,130870559,12040145,155480298,8.084364489705314,84.17179583743787,7.743839672856814,26.33622196055096,99.20132849014813,3.6631227964330244
leon3mp_d50,1,coverage,12.969267,73.067158,86.03642500000001,85,2283,1397611,181780527,8949289,190732099,0.0011969668513950554,95.30673020066749,4.692072832481124,26.858823529411765,130.0651805116016,2.6209412187090755
leon3mp_base_x8,1,coverage,2.730582,9.433872,12.164454,10330,48039,16,253,520246,568538,8.449567135354188,0.044500103774945565,91.50593276087086,4.650435624394966,15.8125,22.403230742712008
leon3mp_base_x16,1,coverage,5.806827,12.060974,17.867801,134044,607407,16,253,4298172,4905832,12.381324921032762,0.0051571272721935854,87.61351795169504,4.53140013726836,15.8125,21.683671189718687
des_perf_base,1,coverage,0.441924,29.070903,29.512827,4029,25890,0,0,83779,109669,23.60740045044634,0.0,76.39259954955365,6.425912137006701,0,19.215931575923918
des_perf_d10,1,coverage,0.684502,14.639404,15.323906000000001,3082900,51625075,22,345,37448,51662868,99.92684687965833,0.0006677910332039638,0.07248532930846967,16.745621006195464,15.681818181818182,1.4496454203820044
des_perf_d20,1,coverage,0.808174,12.926744,13.734917999999999,1168599,26736993,22,349,155700,26893042,99.4197421028086,0.0012977334434683887,0.5789601637479316,22.87952753681973,15.863636363636363,1.182003285459488
des_perf_d30,1,coverage,1.131449,14.639171,15.77062,9468632,242565066,28,443,459881,243025390,99.81058604617402,0.0001822854805417656,0.189231668345435,25.6177519624799,15.821428571428571,0.980514933028191
des_perf_d40,1,coverage,1.593221,70.292528,71.885749,120,3313,1258349,316472156,13380382,329855851,0.0010043781215207245,95.94256249830778,4.056433123570696,27.608333333333334,251.4979198934477,1.751781095433714
des_perf_d50,1,coverage,2.292158,63.686289,65.978447,163,4672,492086,69830295,2328301,72163268,0.0064742079031121485,96.76709070326471,3.2264350888321744,28.662576687116566,141.90668907467395,2.165487849025906
des_perf_base_x8,1,coverage,0.575463,8.024889,8.600351999999999,5349,21396,15,234,680413,702043,3.0476765668199812,0.03333129167301718,96.918992141507,4.0,15.6,23.447777415343506
des_perf_base_x16,1,coverage,0.86596,9.260138,10.126097999999999,3044,12176,15,234,277784,290194,4.1958138348828715,0.08063571266118527,95.72355045245594,4.0,15.6,23.235945608799632
vga_lcd_base,1,coverage,0.410504,9.061072,9.471575999999999,1934,20851,21,328,6255,27434,76.00422832980972,1.1955967048188378,22.800174965371436,10.781282316442606,15.619047619047619,7.320113727491434
vga_lcd_d10,1,coverage,0.609917,15.493584,16.103501,3089411,52957717,0,0,307925,53265642,99.42190690201387,0.0,0.5780930979861277,17.14168720186469,0,1.530744039469195
vga_lcd_d20,1,coverage,0.94787,23.21361,24.161479999999997,5908819,132322277,5,78,681242,133003597,99.48774317735182,5.864503047988995e-05,0.5121981776177076,22.39403119303536,15.6,1.1891594480711676
vga_lcd_d30,1,coverage,1.259236,19.789134,21.048370000000002,2089676,52603442,5,77,112749,52716268,99.78597498593793,0.00014606496802846514,0.21387894909404437,25.173013424090623,15.4,1.002711724585663
vga_lcd_d40,1,coverage,1.739289,24.574132,26.313420999999998,7951347,206781706,5,77,748212,207529995,99.63943091696216,3.7103070329664876e-05,0.3605319799675223,26.005871206476087,15.4,1.0060735365025186
vga_lcd_d50,1,coverage,2.364484,22.250943,24.615427,3985885,106059287,101,1482,491235,106552004,99.53758072912453,0.0013908701332355983,0.4610284007422329,26.608717261034876,14.673267326732674,1.0086294012827763
