case,bound,mode,trial,strips,strip_paths,tiles,tile_paths,individual,total,strip_paths_pct,tile_paths_pct,individual_pct,paths_per_strip,paths_per_tile,record_bytes_per_path
vga_lcd_base,1,3,r1,1934,20851,21,328,6255,27434,76.00422832980972,1.1955967048188378,22.800174965371436,10.781282316442606,15.619047619047619,7.320113727491434
vga_lcd_d10,1,3,r1,3089411,52957717,0,0,307925,53265642,99.42190690201387,0,0.5780930979861277,17.14168720186469,0,1.530744039469195
vga_lcd_d20,1,3,r1,5908819,132322277,5,78,681242,133003597,99.48774317735182,0.00005864503047988995,0.5121981776177076,22.39403119303536,15.6,1.1891594480711676
vga_lcd_d30,1,3,r1,2089676,52603442,5,77,112749,52716268,99.78597498593793,0.00014606496802846514,0.21387894909404437,25.173013424090623,15.4,1.002711724585663
vga_lcd_d40,1,3,r1,7951347,206781706,5,77,748212,207529995,99.63943091696216,0.000037103070329664876,0.3605319799675223,26.005871206476087,15.4,1.0060735365025186
vga_lcd_d50,1,3,r1,3985885,106059287,101,1482,491235,106552004,99.53758072912453,0.0013908701332355983,0.4610284007422329,26.608717261034876,14.673267326732674,1.0086294012827763
vga_lcd_base_x8,1,3,r1,49553,1324736,6,86,113273,1438095,92.11741922473828,0.005980133440419443,7.876600641821298,26.733719451899987,14.333333333333334,2.718212635465668
vga_lcd_base_x16,1,3,r1,82801,2181833,27,414,186148,2368395,92.1228511291402,0.017480192282115104,7.859668678577687,26.350321856016233,15.333333333333334,2.7277054714268525
cage15,1,3,r1,2126300,19744042,0,0,516817,20260859,97.44918515054076,0,2.5508148494592455,9.285633259652919,0,3.1309041734114036
M6,1,3,r1,1399,7559,0,0,15,7574,99.80195405334038,0,0.19804594665962502,5.403145103645461,0,4.480591497227357
nlpkkt120,1,3,r1,720812,18227437,0,0,12,18227449,99.9999341652252,0,0.00006583477479487119,25.28736619257171,0,0.9491057141347645
